Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price
42491,5,2.5,3650,9050,2,0,4,5,10,3370,280,1921,0,122003,52.8645,-114.557,2880,5400,2,58,2380000
42491,4,2.5,2920,4000,1.5,0,0,5,8,1910,1010,1909,0,122004,52.8878,-114.47,2470,4000,2,51,1400000
42491,5,2.75,2910,9480,1.5,0,0,3,8,2910,0,1939,0,122004,52.8852,-114.468,2940,6600,1,53,1200000
42491,4,2.5,3310,42998,2,0,0,3,9,3310,0,2001,0,122005,52.9532,-114.321,3350,42847,3,76,838000
42491,3,2,2710,4500,1.5,0,0,4,8,1880,830,1929,0,122006,52.9047,-114.485,2060,4500,1,51,805000
42491,3,2.5,2600,4750,1,0,0,4,9,1700,900,1951,0,122007,52.9133,-114.59,2380,4750,1,67,790000
42491,5,3.25,3660,11995,2,0,2,3,10,3660,0,2006,0,122008,52.7637,-114.05,3320,11241,3,72,785000
42491,3,1.75,2240,10578,2,0,0,5,8,1550,690,1923,0,122006,52.9254,-114.482,1570,10578,3,71,750000
42491,3,2.5,2390,6550,1,0,2,4,8,1440,950,1955,0,122009,52.8014,-114.598,2010,6550,1,73,750000
42491,4,2.25,2200,11250,1.5,0,0,5,7,1300,900,1920,0,122010,52.9145,-114.391,2320,10814,2,53,698000
42491,5,2.5,2820,67518,2,0,0,3,8,2820,0,1979,0,122011,52.8094,-114.215,2820,48351,2,51,675000
42491,4,2,1820,5000,1.5,0,1,3,7,1640,180,1945,0,122006,52.9115,-114.459,2060,5000,2,69,650000
42491,4,2,1520,6200,1.5,0,0,3,7,1520,0,1945,0,122006,52.908,-114.459,1910,6200,3,80,640000
42491,4,2.75,2710,37277,2,0,0,3,9,2710,0,2000,0,122012,52.6934,-114.177,2390,39299,1,74,630000
42491,3,2.25,1750,1572,2.5,0,0,3,9,1470,280,2005,0,122013,52.8798,-114.511,2410,3050,3,51,626000
42491,4,2.5,2820,8408,2,0,0,3,9,2820,0,2014,0,122014,52.9838,-114.515,1300,8408,3,55,625000
42491,4,3.25,2730,54014,1,0,0,3,9,1560,1170,2007,0,122015,52.7433,-114.3,2730,111274,1,70,625000
42491,3,1.75,2360,7291,1,0,0,4,8,1360,1000,1948,0,122016,52.7574,-114.574,1860,5499,2,75,615000
42491,4,2.5,2730,12261,2,0,0,3,9,2730,0,1991,0,122017,52.9719,-114.395,2730,10872,2,70,612500
42491,3,2.5,3240,33151,2,0,2,3,10,3240,0,1995,0,122018,52.5556,-114.568,4050,24967,1,71,604000
42491,3,1.75,2330,14892,1,0,0,3,8,1970,360,1980,0,122019,52.8567,-114.236,2570,14217,1,60,588500
42491,4,2.5,3310,6500,2,0,0,3,8,3310,0,2012,0,122008,52.745,-114.06,2380,5000,2,80,555000
42491,4,2.5,1940,10500,1,0,0,4,7,1140,800,1976,0,122005,52.913,-114.304,2200,10500,1,58,550000
42491,3,1.75,2910,35200,1.5,0,0,3,8,2910,0,1979,0,122020,52.8047,-114.225,2590,37500,3,50,550000
42491,4,2.5,2860,3345,2,0,0,3,8,2190,670,2004,0,122021,53.0035,-114.348,2860,3596,3,73,499950
42491,4,1.75,1600,6380,1,0,0,3,8,1130,470,1959,0,122022,52.931,-114.496,1090,6380,3,50,495000
42491,4,1.75,2190,125452,1,0,2,3,9,2190,0,1968,0,122023,52.5003,-114.259,3000,125017,3,64,491500
42491,2,1,880,6380,1,0,0,3,7,880,0,1938,1994,122006,52.9224,-114.512,1340,6380,3,66,490000
